Time,CLASS,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,financial_distress
4,False,0.99425,0.086791,0.89379,0.81001,0.14749,-0.0047051,0.34322,0.10715,0.81716,0.019846,0.81374,2.3855,0.10621,1.7677,3.7081,0.18209,1.3077,0.0087736,0.07633,0.01072,0.99543,9.6891,0.22247,0.81844,1105.4,16.332,-172.16,0.34838,0.075347,0.2809,13.164,0.34679,0.9157,1.6819,97.086,0.10666,0.70941,0.010831,0.16793,0.0836,7.6265,0.52621,1.2705,1.0382,-0.044299,0.097105,8.8595,1352.8,1.4655,0.77753,16.121,0.19267,0.1802,1931.1,0.2083,0.48161,0.13455,-0.0022628,-0.0027936,0.13215,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,9.0,0.25277,12.0,47.0,False
4,True,0.73347,-0.034529,0.84616,0.78301,-0.015139,-0.2124,0.46403,-0.044098,-0.22446,-0.0090189,0.58451,-0.44867,0.15384,5.5005,2.2942,-0.019335,3.9833,0.02744,0.043093,0.034432,1.3396,2.8324,0.042024,0.79691,-221.61,14.419,-3.6865,0.17118,0.049251,0.36979,11.954,0.47226,0.9418,4.1581,156.92,-0.059074,0.32015,0.035044,0.055379,0.27645,5.0899,-2.1235,0.55647,-0.1249,0.28983000000000003,-0.040807,5.5005,987.31,5.1803,0.95798,14.174,0.01901,0.032905,997.36,0.04753,0.18831,-0.0036537,0.0,0.0,0.0,4.7675,9.1877,1.819,1.3561,-14.819,33.275,11.2,8968.6,-11.074,11.6,40.747,3.0,33.5,71.323,38.868,37.601,17.125,15.75,4.15,25.0,-0.057883,10.0,32.0,True
5,True,1.0632,0.018761,0.776,0.43693,0.084217,0.043442,0.3451,0.042939,0.083756,0.018649,0.7312,1.4296,0.224,3.4643,2.0119,0.19275,0.73838,0.0054439,0.13483,0.0079154,0.59755,1.7163,0.21833,0.68776,111.72,12.786,10.058,0.036812,0.088239,0.23734,3.6607,0.54321,0.88629,0.94462,178.93,0.025658,0.39393,0.01246,-0.041383,0.25458,1.9506,-0.40492,0.87989,0.073696,0.19394,0.024177,3.4643,1333.8,3.0704,0.78167,11.958,0.25038,0.095396,414.07,-0.25385,0.46254,-0.0056085,-0.016469,-0.037693,0.2174,5.2752,6.818,3.4794,2.7282,-2.6098,38.146,11.35,9180.0,-37.62,11.525,30.725,4.0,31.5,58.556,43.347,41.711,15.917,14.5,2.975,14.0,0.11105,7.0,23.0,True
6,False,0.86625,0.12534,0.67076,1.2734,0.20127,-0.087029,0.20212,0.098429,0.38071,0.12983,0.56365,5.0071,0.32924,2.0373,24.129,0.15805,2.6966,0.057064,0.031566,0.087699,2.2593,3.0755,0.2281,0.65068,825.02,12.663,-14.632,0.33618,0.02008,0.13152,20.896,0.10328,0.97006,3.4935,14.92,0.22238,0.060988,0.044811,0.35149,0.41406,3.8678,1.7436,0.79514,0.30271,-0.26433,0.18687,2.0373,2167.1,1.9763,0.7719,12.905,0.17982,0.29047,1123.8,0.46575,0.36452,0.11151,0.0040514,0.0031815,0.225,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2.0,29.0,66.262,52.74,49.206,15.5,12.0,-6.4,18.0,0.85458,16.0,40.0,False
7,True,1.1428,-0.037293,0.72164,0.50279,0.058841,0.096617,0.24664,-0.074173,-0.13398,-0.13972,0.77337,0.6173,0.27836,2.5925,3.3243,0.11703,0.69299,0.0090586,0.18958,0.013385,0.65013,2.3692,0.17841,0.67675,-90.921,11.748,5.204,-0.11541,0.04489,0.16691,4.1831,0.33197,0.9378,0.84347,108.29,-0.048222,0.16127,0.018017,-0.53409,0.21222,1.8063,-2.3852,1.3116,-0.17573,0.3471,-0.051679,2.6014,678.63,2.4312,0.82159,11.06,0.17025,0.0897,324.53,0.04753,0.22259,-0.099695,-0.0080626,-0.016036,0.0,1.6259,2.773,-2.3155,5.7878,-15.072,18.869,10.425,9589.8,0.92088,23.65,31.54,0.5,28.25,76.529,62.775,56.905,17.375,12.0,-11.65,12.0,-0.34064,18.0,34.0,True
7,True,1.2264,0.020944,0.82133,1.039,-0.0014313,0.17364,0.78507,0.020158,0.11722,0.0021628,0.94048,-0.12179,0.17867,4.597,2.1273,-0.0013775,3.3522,0.013676,0.011311,0.017835,1.1048,20.656,0.070804,0.76683,131.7,11.049,5.9836,0.21947,0.054499,0.60202,3.4914,0.57941,0.93365,3.6077,169.23,0.02227,0.30503,0.013163,0.1657,0.050301,5.8153,-0.82898,3.552,0.41638,0.97187,0.0255,4.597,1123.5,4.2919,0.9292,11.087,0.0040101,0.073566,398.38,-0.70792,0.288,0.023956,-0.025508,-0.02455,0.0,1.6259,2.773,-2.3155,5.7878,-15.072,18.869,10.425,9589.8,0.92088,23.65,31.54,0.5,28.25,76.529,62.775,56.905,17.375,12.0,-11.65,27.0,0.0136,16.0,36.0,True
7,True,1.0335,-0.073828,0.86506,0.31855,-0.067301,0.027883,0.15051,-0.23176,0.30261,-0.092978,0.859,-0.84006,0.13494,6.4105,3.2525,-0.21127,0.38346,0.015249,0.25149,0.018347,0.37084,5.2728,0.1242,0.83112,-356.11,13.266,11.425,0.032342,0.033937,0.12509,3.0819,0.39268,0.96077,0.43784,110.69,-0.085947,0.25149,0.047868,-0.46684,0.060414,2.3606,-2.7273,2.2336,-1.222,0.20663,-0.085345,6.4105,650.89,6.159,0.8758,12.122,-0.18567,0.039565,336.82,0.04753,0.22259,-0.077035,-0.026433,-0.082979,0.0,-0.075348,-0.23637,-3.0266,5.7748,-20.982,28.184,10.4,9667.3,4.7909,25.4,41.598,0.0,28.0,79.951,66.12,59.471,18.0,12.0,-13.4,22.0,-0.44847,14.0,40.0,True
1,True,1.1953,0.060823,0.77593,0.57977,0.065788,0.14242,0.45965,0.10491,0.27145,0.10726,0.87179,4.1206,0.22407,3.463,2.1841,0.11347,2.2876,0.015306,0.027538,0.020985,0.66504,7.5364,0.19227,0.72937,1135.7,13.878,4.0709,0.31586,0.046568,0.33525,64.58,0.57825,0.93999,2.8321,164.82,0.069769,0.20783,0.0264,0.34433,0.076929,2.5875,0.2431,2.9126,0.79064,0.63561,0.078387,3.5199,4183.9,3.2551,0.80773,13.333,0.13118,0.11147,233.83,0.10838,0.20471,-0.03589,0.00086156,0.001486,0.15617,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,0.1896,15.8,22.571,4.0,36.0,85.437,27.07,26.102,16.0,16.0,0.2,12.0,2.0029,4.0,18.0,True
1,False,1.2718,0.20576,0.48045,0.88392,0.25157,0.11674,0.54967,0.23278,0.39603,0.0,0.54618,13.097,0.51955,0.92474,4.9825,0.2846,2.6926,0.039293,0.021731,0.091497,1.6184,2.3281,0.34624,0.42945,1386.1,11.118,7.572,0.20473,0.051005,0.23605,18.285,0.26705,0.89384,4.1186,72.253,0.37672,0.098171,0.044453,0.12928,0.37967,1.7013,0.025374,1.3684,0.54193,0.22469,0.42826,0.92474,3500.0,0.82657,0.65376,10.995,0.31772,0.30604,161.81,0.012528,0.21462,0.17817,-0.018422,-0.020841,0.15104,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,0.1896,15.8,22.571,4.0,36.0,85.437,27.07,26.102,16.0,16.0,0.2,9.0,0.0,7.0,22.0,False
9,False,0.73341,0.066479,0.77005,0.42962,0.11112,-0.18231,0.55458,0.15474,0.28909,0.11447,0.50155,2.1269,0.22995,3.3487,1.2856,0.25864,3.1307,0.031361,0.12161,0.045859,0.85658,2.2734,0.29108,0.68385,722.07,13.61,-2.3566,0.45823,0.086192,0.37925,6.6402,0.88276,0.88807,4.4162,280.01,0.13255,0.37482,0.072996,-0.066925,0.18897,1.8683,0.087646,1.2169,0.35179,-0.79279,0.086331,3.3487,2497.7,2.9739,0.70892,12.766,0.2883,0.12506,1249.9,0.041983,0.097282,0.42341,-0.0093221,-0.021699,0.0030008,5.7265,8.4799,7.4959,2.3437,85.814,25.17,11.3,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,29.0,1.2433,19.0,43.0,False
